Main Catagory,SubCatagory,Link
Amazon Music,,
Amazon Music Unlimited,,
Prime Music,,
Open Web Player,,
CDs & Vinyl,,
Download Store,,
,,
Echo & Alexa,,
Echo & Alexa,Echo,
Echo & Alexa,Echo Plus,
Echo & Alexa,Echo Dot,
Echo & Alexa,Echo Spot,
Echo & Alexa,Echo Show,
Echo & Alexa,Echo Auto,
Echo & Alexa,See all devices with Alexa,
Echo & Alexa,Amazon Smart Plug,
Echo & Alexa,AmazonBasics Microwave,
Echo & Alexa,Home Security,
Echo & Alexa,See all smart home devices,
Echo & Alexa,Meet Alexa,
Echo & Alexa,Alexa App,
Echo & Alexa,Alexa Skills,
,,
Fire Tablets,,
Fire Tablets,Fire 7,
Fire Tablets,Fire HD 8,
Fire Tablets,Fire HD 10,
Fire Tablets,Fire 7 Kids Edition,
Fire Tablets,Fire HD 8 Kids Edition,
Fire Tablets,Fire HD 10 Kids Edition,
Fire Tablets,Accessories,
Fire Tablets,See all Fire tablets,
Fire Tablets,Prime Video,
Fire Tablets,Apps & Games,
Fire Tablets,Digital Music,
Fire Tablets,Kindle Books,
Fire Tablets,Kindle Unlimited,
Fire Tablets,Amazon FreeTime Unlimited,
Fire Tablets,Newsstand,
Fire Tablets,Manage Your Content and Devices,
,,
Fire TV,,
Fire TV,Fire TV Stick,
Fire TV,Introducing Fire TV Stick 4K,
Fire TV,Fire TV Cube,
Fire TV,Fire TV Recast,
Fire TV,See Fire TV Family,
Fire TV,Prime Video - Included with Prime,
Fire TV,Fire TV Apps & Channels,
Fire TV,Games for Fire TV,
Fire TV,Amazon Photos,
,,
Kindle E-readers & Books,,
Kindle E-readers & Books,All-new Kindle,
Kindle E-readers & Books,All-new Kindle Paperwhite,
Kindle E-readers & Books,Kindle Oasis,
Kindle E-readers & Books,Kindle for Kids Bundle,
Kindle E-readers & Books,Accessories,
Kindle E-readers & Books,See all Kindle E-Readers,
Kindle E-readers & Books,Kindle Books,
Kindle E-readers & Books,Newsstand,
Kindle E-readers & Books,Kindle Unlimited,
Kindle E-readers & Books,Prime Reading,
Kindle E-readers & Books,Free Kindle Reading Apps,
Kindle E-readers & Books,Kindle Cloud Reader,
Kindle E-readers & Books,Manage Your Content and Devices,
,,
Appstore for Android,,
Appstore for Android,All Apps and Games,
Appstore for Android,Games,
Appstore for Android,Amazon Coins,
Appstore for Android,Download Amazon Appstore,
Appstore for Android,Amazon Apps,
Appstore for Android,Your Apps and Subscriptions,
,,
Books & Audible,,
Books & Audible,Books,
Books & Audible,Children's Books,
Books & Audible,AbeBooks.com,
Books & Audible,Comics & Graphic Novels,
Books & Audible,Magazines,
Books & Audible,Textbooks,
Books & Audible,Textbook Rentals,
Books & Audible,Sell Us Your Books,
Books & Audible,Prime Student,
Books & Audible,Kindle Books,
Books & Audible,Kindle Unlimited,
Books & Audible,Prime Reading,
Books & Audible,Whispersync for Voice,
Books & Audible,Audible Membership,
Books & Audible,Audible Audiobooks,
,,
Alexa Smart Home,,
Alexa Smart Home,Lighting,
Alexa Smart Home,Plugs,
Alexa Smart Home,Cameras,
Alexa Smart Home,Door Locks,
Alexa Smart Home,Thermostats,
Alexa Smart Home,TV & Video,
Alexa Smart Home,Audio & Home Theater,
Alexa Smart Home,Vacuums,
Alexa Smart Home,Voice Assistants,
Alexa Smart Home,Other Smart Solutions,
,,
Amazon Business,,
Amazon Business,,
Subscribe with Amazon,,
Subscribe & Save,,
All Subscription Boxes,,
International Shopping,,
Where we ship,,
Visit Amazon Global,,
,,
Pet supplies,,
Pet supplies,Dogs,https://www.amazon.com/s/other?rh=n%3A%2116225013011%2Cn%3A2975312011&bbn=16225013011&pickerToList=lbr_brands_browse-bin&qid=1553629460&ref=sr_sa_p_89
Pet supplies,Cats,https://www.amazon.com/s/other?rh=n%3A%2116225013011%2Cn%3A2975241011&bbn=16225013011&pickerToList=lbr_brands_browse-bin&qid=1553629456&ref=sr_sa_p_89
Pet supplies,Fish & Aquatic Pets,https://www.amazon.com/s/other?rh=n%3A%2116225013011%2Cn%3A2975446011&bbn=16225013011&pickerToList=lbr_brands_browse-bin&qid=1553629447&ref=sr_sa_p_89
Pet supplies,Birds,https://www.amazon.com/s/other?rh=n%3A%2116225013011%2Cn%3A2975221011&bbn=16225013011&pickerToList=lbr_brands_browse-bin&qid=1553629442&ref=sr_sa_p_89
Pet supplies,Horses,https://www.amazon.com/s/other?rh=n%3A%2116225013011%2Cn%3A2975481011&bbn=16225013011&pickerToList=lbr_brands_browse-bin&qid=1553629438&ref=sr_sa_p_89
Pet supplies,Reptiles & Amphibians,https://www.amazon.com/s/other?rh=n%3A%2116225013011%2Cn%3A2975504011&bbn=16225013011&pickerToList=lbr_brands_browse-bin&qid=1553629429&ref=sr_sa_p_89
Pet supplies,Small Animals,https://www.amazon.com/s/other?rh=n%3A%2116225013011%2Cn%3A2975520011&bbn=16225013011&pickerToList=lbr_brands_browse-bin&qid=1553629420&ref=sr_sa_p_89
,,
